,SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
5,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",1197,850.0,False,,-80206,stim,0.0,poldrack-categorize,s471
6,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",565,850.0,False,,-77600,stim,1.0,poldrack-categorize,s471
7,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",505,850.0,False,,-74994,stim,2.0,poldrack-categorize,s471
8,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",526,850.0,False,,-72388,stim,3.0,poldrack-categorize,s471
9,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",467,850.0,False,,-69782,stim,4.0,poldrack-categorize,s471
10,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",550,850.0,False,,-67176,stim,5.0,poldrack-categorize,s471
11,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",585,850.0,False,,-64569,stim,6.0,poldrack-categorize,s471
12,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",485,850.0,False,,-61962,stim,7.0,poldrack-categorize,s471
13,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",480,850.0,False,,-59358,stim,8.0,poldrack-categorize,s471
14,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",478,850.0,False,,-56752,stim,9.0,poldrack-categorize,s471
15,,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",493,850.0,False,,-54145,stim,10.0,poldrack-categorize,s471
16,,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",509,850.0,False,,-51539,stim,11.0,poldrack-categorize,s471
36,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2386.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",688,850.0,False,,5398,stim,0.0,stop-signal,s471
37,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",526,850.0,False,,7924,stim,1.0,stop-signal,s471
38,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2930.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",488,850.0,False,,10857,stim,2.0,stop-signal,s471
39,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2522.0,1.0,89.0,test,stop_signal,,89.0,True,"89,71",513,850.0,False,,13383,stim,3.0,stop-signal,s471
