"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","correct","correct_response","feedback_duration","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"15437","13","text","0","15440","0.0-0.0","499","","","","","","","","","","","","","","","","","",""
"1069","89","poldrack-text","1","17515","0.0-1.0","499","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1069","500","fmri_response_test","","","","","","","","","","","","","",""
"615","71","poldrack-text","2","18632","0.0-2.0","499","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","615","500","fmri_response_test","","","","","","","","","","","","","",""
"21714","","survey-text","3","40857","0.0-3.0","499","","","","task_setup","{""Q0"":""500""}","","","","","","","","","","","","",""
"13638","32","poldrack-single-stim","4","55500","0.0-4.0","499","","13638","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","13638","","","","","","","","","",""
"-1","-1","poldrack-single-stim","5","56002","0.0-5.0-0.0","499","","500","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","500","test","","","","","","","","",""
"1058","89","poldrack-categorize","6","58358","0.0-5.0-1.0-0.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","practice","true","89","500","0","","","","",""
"670","71","poldrack-categorize","7","60965","0.0-5.0-1.0-1.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","practice","true","71","500","1","","","","",""
"556","71","poldrack-categorize","8","63573","0.0-5.0-1.0-2.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","2","","","","",""
"699","89","poldrack-categorize","9","66180","0.0-5.0-1.0-3.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","practice","true","89","500","3","","","","",""
"652","71","poldrack-categorize","10","68787","0.0-5.0-1.0-4.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","practice","true","71","500","4","","","","",""
"676","89","poldrack-categorize","11","71392","0.0-5.0-1.0-5.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","practice","true","89","500","5","","","","",""
"652","71","poldrack-categorize","12","73998","0.0-5.0-1.0-6.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","6","","","","",""
"683","89","poldrack-categorize","13","76606","0.0-5.0-1.0-7.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","practice","true","89","500","7","","","","",""
"690","71","poldrack-categorize","14","79212","0.0-5.0-1.0-8.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","practice","false","89","500","8","","","","",""
"905","89","poldrack-categorize","15","81820","0.0-5.0-1.0-9.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","practice","true","89","500","9","","","","",""
"682","71","poldrack-categorize","16","84427","0.0-5.0-1.0-10.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","practice","true","71","500","10","","","","",""
"654","71","poldrack-categorize","17","87035","0.0-5.0-1.0-11.0","499","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","practice","true","71","500","11","","","","",""
"131568","32","poldrack-text","18","218858","0.0-6.0","499","<div class = centerbox><div style = 'font-size: 50px', class = center-text>Scan will start after scanner calibration</p></div>","131568","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"4766","84","poldrack-text","19","223625","0.0-7.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","4766","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","20","224305","0.0-8.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","21","224983","0.0-9.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","22","225665","0.0-10.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"678","84","poldrack-text","23","226343","0.0-11.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","678","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"681","84","poldrack-text","24","227025","0.0-12.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","681","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","25","227704","0.0-13.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","26","228384","0.0-14.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","27","229065","0.0-15.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","28","229746","0.0-16.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"698","84","poldrack-text","29","230445","0.0-17.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","698","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"658","84","poldrack-text","30","231103","0.0-18.0","499","<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>","658","0","fmri_trigger_wait","","","","","","","","","","","","","",""
